stadium_id,stadium_name,stadium_location,home_team,stadium_open,stadium_close,stadium_type,stadium_address,stadium_weather_station_code,stadium_weather_type,stadium_capacity,stadium_surface,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
1001,AT&T Stadium,"Arlington, TX",DAL,2009,2020,retractable,"1 AT&T Way, Arlington, TX 76011",76011,dome,"80,000",FieldTurf,USC00410337,"ARLINGTON SIX FLAGS, TX US",32.7572,-97.0736,163
1002,Georgia Dome,"Atlanta, GA",ATL,1992,2016,indoor,"1 Georgia Dome Dr, Atlanta, GA 30313",30313,dome,"71,250",FieldTurf,,,33.7554,-84.4,"1,050"
1003,Mercedes-Benz Stadium,"Atlanta, GA",ATL,2017,2020,retractable,"1 AMB Drive NW, Atlanta, GA 30313",,dome,,FieldTurf,,,34.7554,-83.4,"1,050"
1004,M&T Bank Stadium,"Baltimore, MD",BAL,1998,2020,outdoor,"1101 Russell St, Baltimore, MD 21230",21230,moderate,"71,008",FieldTurf,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,48
1005,Bank of America Stadium,"Charlotte, NC",CAR,1996,2020,outdoor,"800 S Mint St, Charlotte, NC 28202",28202,moderate,"73,778",Grass,USW00013881,"CHARLOTTE DOUGLAS AIRPORT, NC US",35.2236,-80.9552,222
1006,Soldier Field,"Chicago, IL",CHI,1926,2020,outdoor,"1410 Museum Campus Dr, Chicago, IL 60605",60605,cold,"61,500",Grass,USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,178
1007,Paul Brown Stadium,"Cincinnati, OH",CIN,2000,2020,outdoor,"1 Paul Brown Stadium, Cincinnati, OH 45202",45202,cold,"65,515",FieldTurf,USW00003871,"CINCINNATI WEATHER SERVICE OFFICE CITY, OH US",39.1,-84.51667,194
1008,FirstEnergy Stadium,"Cleveland, OH",CLE,1999,2020,outdoor,"100 Alfred Lerner Way, Cleveland, OH 44114",44114,cold,"68,000",Grass,USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.4057,-81.852,238
1009,Sports Authority Field at Mile High,"Denver, CO",DEN,2001,2020,outdoor,"1701 Bryant St, Denver, CO 80204",80204,cold,"76,125",Grass,USW00023062,"DENVER STAPLETON, CO US",39.7633,-104.8694,"1,611"
1010,Ford Field,"Detroit, MI",DET,2002,2020,indoor,"2000 Brush St, Detroit, MI 48226",48226,dome,"65,000",FieldTurf,,,42.34,-83.056,184
1011,MetLife Stadium,"East Rutherford, NJ",NYG,2010,2020,outdoor,"1 MetLife Stadium Dr, East Rutherford, NJ 07073",7073,cold,"82,500",FieldTurf,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2
